name,city,primary_type,rating,reviews,dropped_at,drop_reason,google_place_id
""" STROKE MASTERS "" DR. SHAIKHADAM HAKIM'S SPECIALITY PARALYSIS CLINIC & REHABILITATION CENTRE",Pune,health,4.8,16,IN SITE,Post-Hospital Care,ChIJAQAAsELAwjsRqEGYUQ1h2pc
"""V"" Healthcare physiotherapy & Rehabilitation at your Home ( Govt. Registerd)",Kolkata,medical_clinic,4.9,113,IN SITE,Home Health Care,ChIJfX-aTZBxAjoRTIqEd_Tpz2E
(VISHRAM ) Seniors Citizens Caring Centre,Mumbai,health,4.9,554,IN SITE,Elder Care,ChIJme12y7Ox5zsRcPOF6q0v8iU
2050 Healthcare,Kolkata,health,4.4,130,IN SITE,Home Health Care,ChIJkVAZWHB1AjoRbgpqE5xRbWI
2050 Healthcare,Hyderabad,health,4.2,147,IN SITE,Home Health Care,ChIJN-AsnMaTyzsRzn0tKvzLmUw
2050 Healthcare,Pune,health,3.9,16,IN SITE,Home Health Care,ChIJXcgWgNXDwjsRdzhn-NfDjbU
2050 Healthcare - Best Home Healthcare Services in Ahmedabad,Ahmedabad,health,4.5,46,IN SITE,Home Health Care,ChIJ-9N3u1ObXjkR_mCdTw17nlA
2050 Healthcare - Best Home Healthcare Services in Chandigarh,Chandigarh,health,4.8,43,IN SITE,Home Health Care,ChIJUY2aptrrDzkRifzhAydmelI
2050 Healthcare - Best Home Healthcare Services in Chennai,Chennai,health,4.8,20,IN SITE,Home Health Care,ChIJHWVbnphnUjoRp7LF0c2Y3OY
2050 Healthcare - Best Home Healthcare Services in Jaipur,Jaipur,health,3.8,13,IN SITE,Home Health Care,ChIJMXUTx4y3XAYRNvHdYyvwZso
24 Care Home Health service,Delhi,health,,0,IN SITE,Home Health Care,ChIJ1XvnXswDDTkRfQOJwizI8wA
24 HOUR BABY CARE AND MOTHER CARE NURSING SERVICE,Pune,health,5,2,IN SITE,Home Health Care,ChIJZw9fSQDBwjsRsvK1vMT5eps
24 HOUR Elderly Care Nursing service,Pune,health,4.6,116,IN SITE,Elder Care,ChIJGcSRaRzBwjsRnWIjrhUY7d0
24 HOURS HOME CARE,,health,,0,IN SITE,Home Health Care,ChIJowhsPQCd-DkRsAkhpsSME6M
24 HOURS HOME MEDICAL SERVICE,Kolkata,medical_center,5,106,IN SITE,Home Health Care,ChIJd7morQGf-DkRuNMDCYZVG2k
24 Hamesha Healthcare India Pvt Ltd,Ghaziabad,health,5,1,IN SITE,Home Health Care,ChIJG8Kj0lzvDDkRwltEb_Qu6IQ
24 Hour Elderly Care Nursing Service,Mumbai,health,4.9,50,IN SITE,Elder Care,ChIJXendSBDJ5zsRkt-Lp7f7z34
24 Hours Home Health Care,,health,,0,IN SITE,Home Health Care,ChIJ____P9645zsRONDg2M5qCHo
24 Nursing Home Care Bureau,Pune,health,5,3,IN SITE,Nursing Homes,ChIJswNIGQDBwjsRB7YIbIlMa1I
24 X 7 NURSING CARE,Delhi,health,,0,IN SITE,Home Health Care,ChIJLz0RuG3iDDkRpqSgy7Dn2LE
"24 hours Patient Care Service - Full Time Elderly Caretaker, Caregiver Services Mumbai",Mumbai,health,5,81,IN SITE,Home Health Care,ChIJiX8t_Ce35zsR6OJlSjyjwBE
24 life Home Care Private Limited,Delhi,health,5,20,IN SITE,Home Health Care,ChIJeeA9JxoFDTkRVJ_50_GRzbE
24/7 Critical Care & ICU Services in Bengaluru - Fortis Hospitals,Bengaluru,service,,0,IN SITE,Post-Hospital Care,ChIJD1_TKzIXrjsRhozngH32NsU
24/7 Critical Care & ICU Services in Faridabad - Fortis Hospitals,Faridabad,service,,0,IN SITE,Post-Hospital Care,ChIJiy5lJHTdDDkRyptLvd103hc
24/7 Critical Care & ICU Services in Greater Noida - Fortis Hospitals,Noida,service,,0,IN SITE,Post-Hospital Care,ChIJOY5Z003BDDkRWElw-L72uoI
24/7 Critical Care & ICU Services in Kolkata - Fortis Hospitals,Kolkata,service,5,1,IN SITE,Post-Hospital Care,ChIJ3djgCEx3AjoRaq0LN39vyZM
24/7 Critical Care & ICU Services in New Delhi - Fortis Hospitals,Delhi,service,,0,IN SITE,Post-Hospital Care,ChIJU8ye7GsDDTkRDXGM886kf9M
24Seven Home Healthcare,Delhi,health,4.9,288,IN SITE,Home Health Care,ChIJJe-qb54FDTkRVTx0MH9KlTw
"2nd inning Old Age Home,",Ahmedabad,service,4.5,10,IN SITE,Elder Care,ChIJXzdaFAmDXjkR2c4yaE96Khw
358 Nursing Services Pvt Ltd,Mumbai,health,,0,IN SITE,Home Health Care,ChIJBY_1c6rJ5zsRI5UXMy5iXpc
365 home healthcare,Ahmedabad,health,5,48,IN SITE,Home Health Care,ChIJJxZpfjiFXjkR0pFhPq7Svys
4ever Home Health Care Services,Bengaluru,health,4.9,81,IN SITE,Home Health Care,ChIJB5j95JIZrjsRkcFJR1Q9JMY
60 Plus Care - Elder Care Home Care,Kolkata,health,4.9,77,IN SITE,Elder Care,ChIJA_asxNp3AjoRgEOcPAi8mac
60 Plus Clinic - Elder Care Clinic & Home Care,Kolkata,health,5,9,IN SITE,Elder Care,ChIJ_WuIb9F7AjoRbTPTjR--l3o
60Plus India,Chennai,service,4.8,55,IN SITE,Elder Care,ChIJ63gGcXxnUjoRJzP3QNsGG3U
7Days home health care,Kochi,health,4.6,10,IN SITE,Home Health Care,ChIJTRwqqhoNCDsR958QJWhkQ4A
9 Hospice Health Care,Hyderabad,health,,0,IN SITE,Post-Hospital Care,ChIJ7bFCca6RyzsR_SPGm8FY9gw
A Home Care Services,Hyderabad,service,,0,IN SITE,Home Health Care,ChIJBa713wmXyzsRG27Z8Nu1i00
A K Home Service,Ahmedabad,,4.9,66,IN SITE,Home Health Care,ChIJuVfNV3ubXjkRk-HiIAqmDd0
A One Patient Home Care,Chandigarh,health,5,1,IN SITE,Home Health Care,ChIJBVDQciSTDzkRo5EtOYtU5R4
A-1 Nurses Bureau,Mumbai,health,4.2,68,IN SITE,Home Health Care,ChIJ72SfOKa5wjsR8D2aRkCPq9c
A. D. Home health care,Ahmedabad,health,3.7,3,IN SITE,Home Health Care,ChIJ-YF4TR6FXjkRgy0kNUmE4_A
A.S HOME CARE SERVICES,Chandigarh,health,5,2,IN SITE,Home Health Care,ChIJgwnm237tDzkRpLfSaeuDHM4
"A.S Health Care Pvt Ltd | Home Nursing Services Near Dasarahalli, Bangalore",Bengaluru,health,4.9,96,IN SITE,Home Health Care,ChIJQexp2JwjrjsR4U0EI2-SuwE
A.S Home Care,Delhi,health,,0,IN SITE,Home Health Care,ChIJaWVFKMjhDDkRutzdcfZUAoI
A1 Enterprises Nurses Bureau,Pune,health,4.5,33,IN SITE,Home Health Care,ChIJM_2kQmHAwjsRyO44rWu7jEc
A1 Healthcare Premium Services PVT LTD,Chandigarh,health,4.9,44,IN SITE,Home Health Care,ChIJbw4okm7tDzkRobydGNgfUkI
A1 Nursing Bureau,,health,4.9,271,IN SITE,Home Health Care,ChIJ_7bX1Ym_5zsROsQrXIZCRWs
A2Z HOME PATIENT CARE PRIVATE LIMITED,Faridabad,health,3.2,6,IN SITE,Home Health Care,ChIJszdgB23dDDkRA4ibU_owfpk
AA Carewell Nursing Services Pvt Ltd,Delhi,health,5,6,IN SITE,Home Health Care,ChIJPTxiDQDhDDkRaqcuvTNAjCs
AAJICHE GHAR,Mumbai,health,4.7,3,IN SITE,Elder Care,ChIJF0vX-um55zsR_pOEhSzJDHM
AARADHANA HOME,Chennai,health,4.9,20,IN SITE,Elder Care,ChIJGT1U1xZbUjoRZ0twCsLFTiQ
AARNA AAYU FOUNDATION (R).(Geriatric Care Center & Old Age Home).,Bengaluru,health,4.5,68,IN SITE,Elder Care,ChIJJUa4iKM_rjsRSc0ze4Ao4G0
AAYAAM OLD AGE HOME,Faridabad,health,4.6,34,IN SITE,Elder Care,ChIJ10YmrXzdDDkRMlBoWYg6ijo
AB Gill patient & Home Health care services Panchkula | Chandigarh |Mohali | Zirakpur.,,health,5,80,IN SITE,Home Health Care,ChIJd8jj29SVDzkRqLIjD5W9L8s
ABC HOME NURSING,Bengaluru,health,5,1,IN SITE,Home Health Care,ChIJX7UlJUQXrjsRJZQDgidEWHg
ABINAYA HOME HEALTH CARE,Chennai,health,5,6,IN SITE,Home Health Care,ChIJ7SAfcf5nUjoR9XauNfM-eRE
ABMS CLINIC & NURSING HOME,Mumbai,medical_center,5,1,IN SITE,Nursing Homes,ChIJxyb-82bD5zsR85a9E8rPOyw
ACME MEDICAL SOLUTIONS PVT LTD,,health,5,77,IN SITE,Home Health Care,ChIJR_pVMv2ayzsRa7of87INVU0
ADARSH BUREAU 24 HOUR NURSE AT HOME FOR CRITICAL CARE PATIENT CARE SERVICE,Pune,health,,0,IN SITE,Home Health Care,ChIJC3VO3yHBwjsRdO0K--lfvsQ
ADYAMA SERVICE CENTER [ Home Health Care ],Kolkata,health,,0,IN SITE,Home Health Care,ChIJdZ1KEDJxAjoR40eSvomtiMo
AIIMS Home Care,Delhi,health,5,3,IN SITE,Home Health Care,ChIJJxmAeyvhDDkRG-V_Y9ME6zk
AJB HOME NURSING AND HEALTH CARE,Chennai,health,5,3,IN SITE,Home Health Care,ChIJH5LkYP1mUjoRjKEYaawYT5Y
AJK Global Home Care.,Chennai,health,4.9,65,IN SITE,Home Health Care,ChIJA3V6eCJdUjoRc4Au471UGkQ
AKKARE Seva Old Age Home And Day Care Center,Bengaluru,health,5,15,IN SITE,Elder Care,ChIJOdIRqcAXrjsRTj8qhGIF_go
"AKSHAYA HEALTH HOME CARE IN CHENNAI - Home Nursing, Caretaker, Patient Attendant Services",Chennai,health,5,110,IN SITE,Home Health Care,ChIJZa1L5lpnUjoRgxUeteFf1dU
AKSHAYA HOME CARE SERVICES,Hyderabad,health,4.6,10,IN SITE,Home Health Care,ChIJaylpR1WRyzsR9KwQV7VCfII
AKSHAYA OLD AGE HOME,Hyderabad,service,4.9,101,IN SITE,Elder Care,ChIJ7VG-DWmZyzsREjmDPVczPow
ALIPURDUAR MISTI AAYA CENTRE & HOME CARE NURSING SERVICE,,health,4.9,169,IN SITE,Home Health Care,ChIJZwCEPrlX4jkRcE0UXOlpAkc
ALL CARE 24 PATIENT CARETAKER AT HOME SERVICES PROVIDER (,Delhi,medical_clinic,4.8,21,IN SITE,Home Health Care,ChIJ3b9L8fcFDTkRPYZgKDo9Wfg
AMHeal,Bengaluru,health,5,108,IN SITE,Home Health Care,ChIJzWOnBXkXrjsRFkktUHZX4l8
AMOL HEALTH RESOURCE CENTER,Chennai,medical_clinic,4.8,108,IN SITE,Post-Hospital Care,ChIJPQeAxx9nUjoREGAjNoB4MRw
ANAMAY ELDER HOMES & ASSISTED LIVING,Pune,health,,0,IN SITE,Elder Care,ChIJwTnJsu-_wjsRpHyunFP53aI
"ANAND NURSING HOME, Dr M M Anand, Dr Kanav Anand, Dr Neha Anand, Delhi",Delhi,health,4,48,IN SITE,Nursing Homes,ChIJLZ88MvICDTkRvNOA2-4HqX0
"ANANDA ASHRAM OLD AGE CARE & HOSPITALITY (P.V.T LTD) ""STARTING AT ₹4999 ONLY""",Kolkata,health,4.9,52,IN SITE,Elder Care,ChIJPZMKr0ed-DkRPICYgRx28JE
ANANDA VIHAR SENIORS HOME & HEALTH CARE CENTER,Bengaluru,health,4.9,155,IN SITE,Elder Care,ChIJQdjLd0NrrjsRzm2mKk_dF1c
ANANDVAN OLD AGE CARE HOME,,health,4.9,13,IN SITE,Elder Care,ChIJgXmaGnC75zsRV_W1-VMQeA4
ANGEL CARE FOUNDATION : Best old age home | Aged care | retirement Home | Patient care in Thane - Mumbai,,health,4.6,97,IN SITE,Elder Care,ChIJPU32CQ675zsRdQ20s5Ra0xM
ANJALI HOME CARE SOLUTIONS,Mumbai,health,5,1,IN SITE,Home Health Care,ChIJ-eq4YbTJ5zsRliQlIDyrYMs
AR Nursing Care Services,Jaipur,health,4.9,48,IN SITE,Home Health Care,ChIJA-MqBji1bTkRghNSYvMtCLk
ARC Palliative Care,Bengaluru,health,5,5,IN SITE,Post-Hospital Care,ChIJfR8OgIMVrjsRO5s0ATAyqTo
ARCHON Old Age Home Delhi - Senior & Assisted Living Facility,Faridabad,health,4.9,106,IN SITE,Elder Care,ChIJ_XIn9r3DDDkRADnEBe7yhL4
ARM NURSING CLNIQ,Chennai,health,4,15,IN SITE,Nursing Homes,ChIJN_qLuJ1oUjoRP1WGweLVJWg
AROGYA HOMES For Elderly Care And Rehabilitation Center,Hyderabad,health,5,22,IN SITE,Elder Care,ChIJAQDE5bOTyzsRvmZmzGAHA28
ARPIT - ProCCD: Center For Complex Disorders,Pune,health,5,10,IN SITE,Post-Hospital Care,ChIJNd3T9I2_wjsRy0szK-O594I
ARUN HOME CARE SERVICE,Gurugram,health,5,19,IN SITE,Home Health Care,ChIJ5zTT0xUZDTkRl81LkXCUKEY
